0.0000 0.000000
0.0609 0.001607
0.1218 0.006406
0.1826 0.014325
0.2435 0.025248
0.3044 0.039013
0.3653 0.055421
0.4261 0.074232
0.4870 0.095176
0.5479 0.117954
0.6088 0.142244
0.6696 0.167708
0.7305 0.193996
0.7914 0.220753
0.8523 0.247623
0.9131 0.274258
0.9740 0.300322
1.0349 0.325493
1.0958 0.349472
1.1566 0.371985
1.2175 0.392786
1.2784 0.411661
1.3393 0.428428
1.4001 0.442942
1.4610 0.455093
1.5219 0.464805
1.5828 0.472039
1.6436 0.476789
1.7045 0.479081
1.7654 0.478972
1.8263 0.476547
1.8871 0.471913
1.9480 0.465202
2.0089 0.456561
2.0698 0.446155
2.1306 0.434158
2.1915 0.420753
2.2524 0.406129
2.3133 0.390475
2.3741 0.373979
2.4350 0.356826
2.4959 0.339196
2.5568 0.321259
2.6176 0.303176
2.6785 0.285095
2.7394 0.267156
2.8003 0.249480
2.8611 0.232180
2.9220 0.215351
2.9829 0.199077
3.0438 0.183425
3.1046 0.168452
3.1655 0.154201
3.2264 0.140703
3.2873 0.127978
3.3481 0.116038
3.4090 0.104882
3.4699 0.094505
3.5308 0.084892
3.5916 0.076024
3.6525 0.067875
3.7134 0.060416
3.7743 0.053616
3.8351 0.047439
3.8960 0.041848
3.9569 0.036808
4.0178 0.032279
4.0786 0.028225
4.1395 0.024608
4.2004 0.021393
4.2613 0.018544
4.3221 0.016028
4.3830 0.013814
4.4439 0.011871
4.5048 0.010173
4.5656 0.008693
4.6265 0.007408
4.6874 0.006294
4.7483 0.005334
4.8091 0.004507
4.8700 0.003797
4.9309 0.003191
4.9918 0.002674
5.0526 0.002234
5.1135 0.001862
5.1744 0.001547
5.2353 0.001282
5.2961 0.001060
5.3570 0.000873
5.4179 0.000718
5.4788 0.000589
5.5396 0.000481
5.6005 0.000392
5.6614 0.000319
5.7223 0.000259
5.7831 0.000209
5.8440 0.000169
5.9049 0.000136
5.9658 0.000109
6.0266 0.000087
6.0875 0.000070
